doc,date,description
005,Sept 20th 1624,with John Wood late Master of the lesser James complained of by letters from the president and Council at Jacatra.
005,Nov 22nd 1624,Captain Greene accused for lavish expenses of the Company's money~ and lascivious life.
005,Dec 10th 1624,Mr. Hurstland President~ a private trader. Robert Turberville~ purser of the Mary~ a private trader.
005,Dec 17th 1624,Particular objects by John Fuller against Captain Greene: viz he kept 2 Portuguese women (that were taken in the Carrack) in his cabin a year together. At Mozambique~ he refused 600 rials for their ransom~ gave them costly apparel and made more provision for them than the ship's Company~ used drinking immoderately~ and lost much money at dice.
005,Oct 13th 1625,Captain Hall and Mr. James questioned for private trade and landing their goods at Scilly.
005,Dec 2nd 1625,Mr. Brookes in prison at Dover for casting away the Moon.
005,Dec 8th 1625,Robert Johnson~ chief at Jambee~ and Marmaduke Stevenson complained of by the President's letter.
005,Dec 9th 1625,Johnson~ that came home Master his mate in the Discovery~ complained of by the desidents letter for putting the Company: to an unnecessary charge of a voyage to the Naik's Country.
005,Dec 14th 1625,Edward Charley Chirington brought home in the Blessing 4 hogsheads of long pepper.
005,Nov 30th 1625,Captain Browne concluded with and entertained again~ but blamed for bringing home 21 pounds worth of private trade~ and for expense of powder.
006,Dec 14th 1625,William Kiewell~ chirurgeon’s mate of the Blessing~ brought home 400 weight of pepper.
006,Dec 16th 1625,Captain Moreton~ a private trader~ for 3 hogsheads of pepper.
006,Dec 23rd 1625,John Chester~ a sailor of the Blessing~ questioned for embezzling the value of 128 in gold out of Court Mamooda his junk at Surat.
006,Jan 20th 1625,Information given against George Brewin for selling the Company's stores and provisions at an undervalue to the Dutch.
006,Feb 17th 1625,The suggestions and complaints against Mr. James for landing his goods at Scilly canceled.
006,Feb 20th 1625,Captain Hall’s bond ordered to be put in suit for his error and breach of covenant and for a bale of silk taken out of the horse-prize between Surat & Persia.
006,Feb 27th 1625,Captain Hall's private trade questioned.
006,Mar 1st 1625,Coble Butchinson complained of in the general meeting for not delivering up his account of his employment at Ahmedabad.
006,Mar 3rd 1625,Mr. Darrell's private trade questioned and again examined April 28~ May 3 & 29~ 1626.
006,Mar 24th 1625,John Rowe~ Daniel White~ purser~ Edward Wilson~ chirurgeon~ John Grant~ master's mate~ and John Sallus~ boatswain~ complain one against another of drunkenness & other disorders in their voyage in the Star.
006,Mar 29th 1626,The same complaint handled at large. Heath~ purser's mate in the Discovery~ complained of for negligence in his place.
006,Apr 14th 1626,Mr. Brookes questioned in court for willfully casting away the Moon~ the same business also handled the 21st and 28th of the same month.
007,Apr 21st 1626,John Grant~ master’s mate~ John Sallus~ boatswain of the Star~ and Charles Aslabie~ mariner~ complained of by Mr. Rowe~ viz Grant for leaving the ship in the West Country without leave. Sallus for being idle~ lazy~ and insufficient in his place~ and therefore displaced by Captain Weddall and consultation~ and Aslabie for running away at the Island of Mauritius.
007,Apr 24th 1626,Randall Jessen complained of for being irregular~ leaving the effect to go alone~ and for discovering the Company’s resolution to Sir Dodmer Cotton.
007,May 3rd 1626,John Chester questioned for embezzling gold to the value of 128 out of the Chaul junk. For satisfaction whereof~ all his wages were confiscated to the Company: and an end made by giving 15 to his wife.
007,May 5th 1626,John Fletcher~ carpenter of the Discovery~ a great private trader~ carried out with him 500 reals of eight and brought home an estate of 746.
007,May 8th 1626,Mr. Rowe~ master of the Star~ questioned for landing and selling at Dartmouth 50 bales of calico~ and 100 weight of wax.
007,May 15th 1626,Anthony Lowndes~ the Company merchant~ a great private trader.
007,May 17th 1626,James Beversham’s remainder of wages denied because he conveyed his private trade from the Downs to Ipswich.
007,May 22nd 1626,The complaint against Robert Butchinson for not perfecting his accounts rehandled.
007,May 24th 1626,Bartholomew Churchman~ master’s mate of the Moon~ examined and accused to be faulty about casting away the same ship.
007,May 26th 1626,Anthony Lowndes blamed for leaving the part wherein he was master’s mate~ and coming home passenger in the Ruby~ for which his wages homeward were confiscated~ and on the 14th of July 1626~ he was fined 40 for his incredible private trade.
008,Jun 9th 1626,John Fletcher~ carpenter~ fined 50 for his private trade and freight of his goods.
008,Sep 13th 1626,Daniel White blamed for landing his private goods at Portsmouth out of the Star wherein he was passenger.
008,Nov 13th 1626,Robert Yonge and William Caton~ private traders from Surat.
008,Nov 15th 1626,Joseph Cockran’s private trade questioned.
008,Nov 17th 1626,William Burch~ carpenter of the Great James~ blamed for leaving the ship at Portsmouth~ and for his great trade for his own account.
008,Nov 20th 1626,Robert Yonge and John Willoughbie indebted to the Company.
008,Nov 20th 1626,John Brathwaite and Edward Austen~ private traders.
008,Nov 22nd 1626,Thomas Winterburne~ sometimes steward of the Lyon (wherein Mr. Friere was prisoner)~ so vehemently suspected to have consented to Ruifreiro’s escape.
008,Nov 22nd 1626,Edmund Saris~ a private trader for diamonds which~ after his death~ were delivered by Captain Ordall to the Company.
